Level,Compound conjunctions,Participle clauses,Gerund clauses,Relative clauses,Infinitive clauses,Subordinate clauses,Coordinate clauses,Maximum nesting depth,Depths 1-3,Sentence length,Adverbial clause modifiers,Clausal complements,Avrgwordleng,TTR (100)
1,0.533333333333333,2.04081632653061,4.08163265306122,2.04081632653061,10.2040816326531,40.8163265306122,12.2448979591837,7,77.720207253886,16.304347826087,0.102040816326531,10.5263157894737,4.62133333333333,0.721557971014492
1,0.826446280991735,0,0,5.55555555555556,11.1111111111111,36.1111111111111,16.6666666666667,7,83.2699619771863,14.2352941176471,0.138888888888889,2.04081632653061,4.2396694214876,0.709928057553956
1,0,0,0,0,0,22.7272727272727,40.9090909090909,4,96.3636363636364,25.5,0.227272727272727,11.7647058823529,3.97073170731707,0.631142857142857
1,0.99009900990099,0,0,5.88235294117647,11.7647058823529,29.4117647058824,17.6470588235294,5,89.4230769230769,11.2222222222222,0.294117647058824,0,4.37623762376237,0.66
1,0,0,0,0,5.55555555555556,33.3333333333333,22.2222222222222,5,84.3283582089552,15.125,0.277777777777778,0,4.52459016393442,0.704090909090908
1,0,0,0,0,0,7.14285714285714,0,3,99.0740740740741,8,0.357142857142857,6.12244897959184,4.24038461538461,0.564
1,0,0,0,5,10,20,10,4,96.09375,8.92857142857143,0.25,3.44827586206897,4.656,0.766538461538461
1,0,0,0,7.14285714285714,0,7.14285714285714,7.14285714285714,5,88.1481481481482,9.91666666666667,0.357142857142857,0,4.33613445378151,0.729
1,0,0,0,11.1111111111111,16.6666666666667,33.3333333333333,0,5,84.2105263157895,7.66666666666667,0.277777777777778,0,5.45652173913043,0.590000000000001
1,0,1.81818181818182,0,0,3.63636363636364,18.1818181818182,14.5454545454545,5,91.5540540540541,7.91891891891892,0.0909090909090909,6.25,4.67576791808873,0.635257731958763
1,0,3.57142857142857,0,3.57142857142857,17.8571428571429,35.7142857142857,8.92857142857143,6,79.0816326530612,11.4193548387097,0.0892857142857143,7.5,4.82072829131652,0.739015748031495
1,0,2.04081632653061,0,0,14.2857142857143,38.7755102040816,20.4081632653061,5,87.0229007633588,12.35,0.102040816326531,2.77777777777778,4.4331983805668,0.674324324324324
1,0,0,0,0,12.5,31.25,18.75,4,93.0693069306931,12,0.3125,0,4.04166666666666,0.670000000000001
1,0,0,0,5.40540540540541,10.8108108108108,35.1351351351351,13.5135135135135,4,96.3133640552995,11.0526315789474,0.135135135135135,4.54545454545455,4.59523809523809,0.715405405405405
1,0,0,0,4,28,40,8,4,90.5511811023622,9.07692307692308,0.2,0,4.75423728813559,0.646315789473684
1,0.719424460431655,0,4.76190476190476,9.52380952380952,4.76190476190476,42.8571428571429,14.2857142857143,8,78.2894736842105,15.4444444444444,0.238095238095238,7.40740740740741,4.71223021582733,0.742249999999999
1,0,0,0,6.25,25,37.5,6.25,8,57.4803149606299,13.2222222222222,0.3125,0,4.25210084033613,0.6605
